time;nagents;births;deaths_age;deaths_starvation;combat_kills;calculate_total_credit_outstanding;calculate_credit_default_rate;calculate_decision_entropy;calculate_gini_coefficient;calculate_pareto_alpha;calculate_mean_lifespan;calculate_lifespan_inequality;calculate_cultural_entropy;calculate_spatial_segregation;calculate_clustering_coefficient;count_red_tribe;count_blue_tribe;calculate_factional_clustering_blue_initiated_attacks;calculate_factional_clustering_red_attack_rate;calculate_factional_clustering_red_initiated_attacks;calculate_factional_clustering_total_attacks;calculate_cultural_initiation_by_tribe_blue_initiated_transmissions;calculate_cultural_initiation_by_tribe_red_initiated_transmissions;calculate_cultural_initiation_by_tribe_total_transmissions;calculate_cultural_diversity_diversity_ratio
55;42;42;0;17;33;2.42;0.0;0.0;0.45458883817759643;1.654704080177625;22.357142857142858;0.41358588163699994;3.1910832025476883;0.0;0.0;0;42;0.0;0.0;0.0;0.0;4.0;0.0;4.0;0.013671875
56;42;42;0;17;33;2.42;0.0;0.0;0.449856175125972;1.6419330218309516;23.357142857142858;0.3958788408329694;3.1705344830868465;0.0;0.0;0;42;0.0;0.0;0.0;0.0;6.0;0.0;6.0;0.013671875
57;42;42;0;17;33;2.42;0.0;0.0;0.4450366092382898;1.6720525737311225;24.357142857142858;0.3796257505934926;3.1846409024393827;0.0;0.0;0;42;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.01416015625
58;44;44;0;17;33;2.42;0.0;0.0;0.4546170713552877;1.6836208666711017;24.204545454545453;0.39353393085787447;3.199434675210575;0.0;0.0;0;44;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0146484375
59;45;46;0;17;34;2.42;0.0;0.0;0.4661311190861539;1.3140336166866287;23.933333333333334;0.4098627875786651;3.2905023549825994;0.0;0.0;1;44;0.0;1.0;1.0;1.0;7.0;0.0;7.0;0.015625
60;43;46;0;17;36;0.0;0.0;0.0;0.4930161045217807;1.2917458639382318;25.093023255813954;0.39403409703213566;3.2411033750402614;0.0;0.0;0;43;1.0;0.0;0.0;1.0;5.0;0.0;5.0;0.0146484375
61;44;48;0;18;36;0.0;0.0;0.0;0.4846448403433783;1.2720098011178849;25.113636363636363;0.40919374742904147;3.3177387518216834;0.0;0.0;0;44;0.0;0.0;0.0;0.0;4.0;0.0;4.0;0.015625
62;47;51;0;18;36;5.5;0.0;0.0;0.4922636494076169;1.2159583733168826;24.4468085106383;0.4322352461900265;3.2563319146340675;0.0;0.0;0;47;0.0;0.0;0.0;0.0;6.0;0.0;6.0;0.01513671875
63;52;56;0;18;36;7.5;0.3333333333333333;0.0;0.5146180730205532;1.2910389544069827;23.0;0.47147543092359157;3.184652595525928;0.0;0.0;0;52;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.01513671875
64;54;58;0;18;36;8.0;0.25;0.0;0.5134357704434427;1.3396123114002771;23.11111111111111;0.4721331908831907;3.132445954057095;0.0;0.0;0;54;0.0;0.0;0.0;0.0;9.0;0.0;9.0;0.0146484375
65;56;60;0;18;36;19.75;0.16666666666666666;0.0;0.5123232346357343;1.39241409937126;23.25;0.47210335747202103;3.106451041337352;0.0;0.0;0;56;0.0;0.0;0.0;0.0;7.0;0.0;7.0;0.01416015625
66;61;65;0;18;36;22.75;0.125;0.0;0.5202583734239268;1.4307243175565845;22.262295081967213;0.49750114681667834;3.1450844163759237;0.0;0.0;0;61;0.0;0.0;0.0;0.0;9.0;0.0;9.0;0.0146484375
67;62;67;0;19;36;27.25;0.1;0.0;0.5119542714748653;1.4646684346552836;22.532258064516128;0.49692890294871495;3.1919587619927805;0.0;0.0;0;62;0.0;0.0;0.0;0.0;10.0;0.0;10.0;0.01513671875
68;65;70;0;19;36;31.0;0.16666666666666666;0.0;0.5159802658473727;1.479069755772707;22.446153846153845;0.5000052723150736;3.2592886300264836;0.0;0.0;0;65;0.0;0.0;0.0;0.0;8.0;0.0;8.0;0.01611328125
69;72;77;0;19;36;35.0;0.15384615384615385;0.0;0.5146196299275945;1.4505352322056375;21.166666666666668;0.5293635170603674;3.3010810984659065;0.0;0.0;0;72;0.0;0.0;0.0;0.0;13.0;0.0;13.0;0.01806640625
70;73;78;0;19;36;41.0;0.21428571428571427;0.0;0.5094011864279508;1.451908551530414;21.863013698630137;0.5122566690699351;3.29142539132023;0.0;0.0;0;73;0.0;0.0;0.0;0.0;14.0;0.0;14.0;0.0185546875
71;77;83;1;19;36;42.0;0.26666666666666666;0.0;0.4809626553502011;1.403759236214974;20.753246753246753;0.5214147554573088;3.228448617577979;0.0;0.0;0;77;0.0;0.0;0.0;0.0;15.0;0.0;15.0;0.017578125
72;80;86;1;19;36;46.0;0.25;0.0;0.4709486148943658;1.392188776188079;20.9375;0.5162910447761195;3.229082417346047;0.0;0.0;0;80;0.0;0.0;0.0;0.0;14.0;0.0;14.0;0.01806640625
73;83;90;1;20;36;42.25;0.14285714285714285;0.0;0.46016764405741517;1.4165616335634421;20.795180722891565;0.5208923759929638;3.2448893491903936;0.0;0.0;0;83;0.0;0.0;0.0;0.0;16.0;0.0;16.0;0.0185546875
74;88;95;1;20;36;51.25;0.13333333333333333;0.0;0.46057837325662576;1.4901445119696324;20.556818181818183;0.5255728931102064;3.3183054722179426;0.0;0.0;0;88;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.01953125
75;91;98;1;20;36;49.5;0.06666666666666667;0.0;0.46282781458616307;1.5518760154998272;20.846153846153847;0.5176362909625958;3.4182933028666245;0.0;0.0;0;91;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.0205078125
76;97;106;3;20;36;162.0;0.1;0.0;0.44586428618362794;1.8394770324408454;18.927835051546392;0.5288839476225771;3.4331718463297634;0.0;0.0;0;97;0.0;0.0;0.0;0.0;19.0;0.0;19.0;0.021484375
77;95;107;3;22;37;155.5;0.027777777777777776;0.0;0.4318950317553296;1.880831808043881;19.86315789473684;0.5070816946977936;3.3607659806567116;0.0;0.0;0;95;1.0;0.0;0.0;1.0;18.0;0.0;18.0;0.01904296875
78;103;116;3;22;38;152.75;0.05714285714285714;0.0;0.43035780814593094;1.6598139033711112;19.155339805825243;0.527814820464622;3.435302979669151;0.0;0.0;0;103;1.0;0.0;0.0;1.0;23.0;0.0;23.0;0.02001953125
79;104;118;3;22;39;150.1;0.05714285714285714;0.0;0.4348192063678349;1.7910531524228295;19.807692307692307;0.5130041075429426;3.441664733311885;0.0;0.0;0;104;1.0;0.0;0.0;1.0;21.0;0.0;21.0;0.02099609375
80;106;120;3;22;39;144.2;0.02857142857142857;0.0;0.4310532876113964;1.6756761718665285;20.41509433962264;0.49800334809751323;3.4859584842845392;0.0;0.0;0;106;0.0;0.0;0.0;0.0;16.0;0.0;16.0;0.021484375
81;118;132;3;22;39;161.9;0.10526315789473684;0.0;0.4278806021074275;1.5924635576570458;19.23728813559322;0.5281639662510267;3.4897229007228487;0.0;0.0;0;118;0.0;0.0;0.0;0.0;27.0;0.0;27.0;0.02294921875
82;123;138;3;23;39;168.75;0.14634146341463414;0.0;0.4290386585480255;1.5398822125908778;18.747967479674795;0.5218694251122911;3.4146325743094916;0.0;0.0;0;123;0.0;0.0;0.0;0.0;22.0;0.0;22.0;0.02197265625
83;126;141;3;23;39;169.625;0.14285714285714285;0.0;0.4256373664676565;1.6184731920283348;19.27777777777778;0.507456200539774;3.455441917688562;0.0;0.0;0;126;0.0;0.0;0.0;0.0;25.0;0.0;25.0;0.02294921875
84;137;152;3;23;39;147.8125;0.6060606060606061;0.0;0.4331787130766047;1.61275349591305;18.64963503649635;0.5239876012398759;3.5208424704013557;0.0;0.0;0;137;0.0;0.0;0.0;0.0;34.0;0.0;34.0;0.0244140625
85;137;152;3;23;39;162.36249999999998;0.6176470588235294;0.0;0.42648097917826244;1.682681057373999;19.64963503649635;0.4973210702703874;3.499316769755135;0.0;0.0;0;137;0.0;0.0;0.0;0.0;25.0;0.0;25.0;0.0244140625
86;139;154;3;23;39;178.61160888671876;0.48717948717948717;0.0;0.4255984748836579;1.6373106289002948;20.35251798561151;0.48081661923907326;3.513064657290103;0.0;0.0;0;139;0.0;0.0;0.0;0.0;30.0;0.0;30.0;0.0244140625
87;146;162;3;23;40;189.6363861083984;0.4772727272727273;0.0;0.42977104518567244;1.6365091318663971;20.267123287671232;0.48771799062067434;3.5023645056165797;0.0;0.0;0;146;1.0;0.0;0.0;1.0;31.0;0.0;31.0;0.0234375
88;155;172;4;23;40;209.63638610839843;0.5;0.0;0.39571909439520003;1.9817102260003407;19.46451612903226;0.4942487196210721;3.427874197993477;0.0;0.0;0;155;0.0;0.0;0.0;0.0;34.0;0.0;34.0;0.02294921875
