time,id,pos,sugar,age,vision,metabolism,sex,culture,children,has_reproduced,has_spread_culture,has_accepted_culture,total_inheritance_received,last_partner_id,last_credit_partner,chose_not_to_spread_culture,schwartz_values
0,43,"(48, 9)",10.0,0,3,4,male,"Bool[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.99f0, stimulation = -1.29f0, hedonism = 0.31f0, achievement = -0.85f0, power = -2.25f0, security = 1.02f0, conformity = -1.51f0, tradition = 0.6f0, benevolence = 1.54f0, universalism = 1.43f0)"
0,44,"(10, 1)",18.0,0,2,3,female,"Bool[1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.2f0, stimulation = -1.3f0, hedonism = -0.36f0, achievement = -1.42f0, power = -0.01f0, security = 0.9f0, conformity = 0.69f0, tradition = -0.16f0, benevolence = 0.19f0, universalism = 1.27f0)"
0,45,"(44, 32)",14.0,0,6,3,male,"Bool[0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.81f0, stimulation = -1.6f0, hedonism = -1.18f0, achievement = -0.14f0, power = -0.86f0, security = 0.7f0, conformity = 0.05f0, tradition = 0.18f0, benevolence = 0.56f0, universalism = 1.48f0)"
0,46,"(23, 40)",21.0,0,6,2,male,"Bool[1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.49f0, stimulation = -1.12f0, hedonism = 0.32f0, achievement = -1.42f0, power = -0.73f0, security = -0.05f0, conformity = -0.25f0, tradition = 0.64f0, benevolence = 1.4f0, universalism = 0.72f0)"
0,47,"(5, 12)",11.0,0,2,4,female,"Bool[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.57f0, stimulation = -2.18f0, hedonism = -2.28f0, achievement = -0.66f0, power = 0.29f0, security = -0.43f0, conformity = 1.25f0, tradition = 0.29f0, benevolence = 1.83f0, universalism = 1.32f0)"
0,48,"(44, 33)",18.0,0,5,4,female,"Bool[0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -0.15f0, stimulation = -0.91f0, hedonism = 0.3f0, achievement = 0.35f0, power = -1.0f0, security = 0.43f0, conformity = 0.52f0, tradition = 0.26f0, benevolence = 0.44f0, universalism = -0.23f0)"
0,49,"(6, 24)",13.0,0,1,1,female,"Bool[1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.59f0, stimulation = -2.21f0, hedonism = -0.65f0, achievement = -0.04f0, power = 0.04f0, security = 0.92f0, conformity = -0.75f0, tradition = 0.42f0, benevolence = 1.16f0, universalism = 0.54f0)"
0,50,"(14, 21)",25.0,0,5,2,female,"Bool[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.96f0, stimulation = -0.01f0, hedonism = 0.67f0, achievement = -2.15f0, power = -2.34f0, security = 1.16f0, conformity = -1.09f0, tradition = -0.69f0, benevolence = 2.19f0, universalism = 1.28f0)"
1,1,"(2, 21)",7.0,1,6,2,male,"Bool[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.16f0, stimulation = -2.09f0, hedonism = 0.27f0, achievement = 0.55f0, power = -0.36f0, security = 0.92f0, conformity = -0.56f0, tradition = 0.1f0, benevolence = 0.23f0, universalism = -0.21f0)"
1,2,"(11, 46)",8.0,1,6,1,male,"Bool[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,false,true,0.0,Int64[],Int64[],false,"(self_direction = 0.38f0, stimulation = 0.45f0, hedonism = 0.08f0, achievement = -1.25f0, power = -1.74f0, security = -0.14f0, conformity = 0.3f0, tradition = 0.37f0, benevolence = 0.44f0, universalism = 1.11f0)"
