time,id,pos,sugar,age,vision,metabolism,sex,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,chose_not_to_borrow,chose_not_to_lend,schwartz_values
0,43,"(48, 9)",10.0,0,3,4,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.57f0, stimulation = -1.72f0, hedonism = -0.84f0, achievement = -0.37f0, power = 0.05f0, security = 0.17f0, conformity = 0.19f0, tradition = 1.16f0, benevolence = 0.27f0, universalism = 0.52f0)"
0,44,"(10, 1)",18.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 1.22f0, stimulation = -0.35f0, hedonism = 0.23f0, achievement = 1.33f0, power = 0.54f0, security = -0.24f0, conformity = -0.87f0, tradition = -1.91f0, benevolence = 0.16f0, universalism = -0.11f0)"
0,45,"(44, 32)",14.0,0,6,3,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.96f0, stimulation = -0.11f0, hedonism = -1.51f0, achievement = 0.27f0, power = -1.09f0, security = 0.82f0, conformity = -1.23f0, tradition = -0.59f0, benevolence = 1.67f0, universalism = 0.81f0)"
0,46,"(23, 40)",21.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = -0.15f0, stimulation = 0.62f0, hedonism = 0.16f0, achievement = -0.97f0, power = -1.7f0, security = 0.2f0, conformity = 0.08f0, tradition = -0.3f0, benevolence = 1.37f0, universalism = 0.7f0)"
0,47,"(5, 12)",11.0,0,2,4,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.83f0, stimulation = -0.03f0, hedonism = 0.27f0, achievement = 0.09f0, power = -1.72f0, security = -0.13f0, conformity = -0.91f0, tradition = 0.21f0, benevolence = 1.2f0, universalism = 0.19f0)"
0,48,"(44, 33)",18.0,0,5,4,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = -0.4f0, stimulation = -2.04f0, hedonism = -0.47f0, achievement = -2.52f0, power = -0.65f0, security = 1.1f0, conformity = 0.59f0, tradition = 1.16f0, benevolence = 2.19f0, universalism = 1.04f0)"
0,49,"(6, 24)",13.0,0,1,1,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.51f0, stimulation = -0.85f0, hedonism = -1.24f0, achievement = 1.49f0, power = -1.27f0, security = -0.08f0, conformity = 0.41f0, tradition = -0.06f0, benevolence = 0.22f0, universalism = 0.87f0)"
0,50,"(14, 21)",25.0,0,5,2,female,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 1.14f0, stimulation = -1.05f0, hedonism = 0.57f0, achievement = -0.35f0, power = -2.14f0, security = -0.11f0, conformity = -1.72f0, tradition = -0.59f0, benevolence = 2.02f0, universalism = 2.23f0)"
1,1,"(2, 21)",7.0,1,6,2,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.05f0, stimulation = 0.19f0, hedonism = -0.09f0, achievement = -1.11f0, power = -0.39f0, security = 0.06f0, conformity = -0.6f0, tradition = 0.53f0, benevolence = 1.42f0, universalism = -0.08f0)"
1,2,"(11, 46)",8.0,1,6,1,male,Int64[],false,0.0,Int64[],Int64[],false,false,"(self_direction = 0.97f0, stimulation = -1.62f0, hedonism = -1.32f0, achievement = -0.45f0, power = -2.41f0, security = 0.19f0, conformity = -0.53f0, tradition = 0.91f0, benevolence = 2.59f0, universalism = 1.66f0)"
