time,id,pos,sugar,age,vision,metabolism,sex,culture,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner
58,38,"(31, 4)",169.0,58,2,1,female,"Bool[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
58,40,"(12, 40)",21.0,58,5,4,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
58,42,"(29, 1)",74.0,58,2,1,male,"Bool[1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
58,46,"(18, 41)",128.0,58,6,2,male,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
58,50,"(16, 38)",125.0,58,5,2,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
59,2,"(15, 37)",173.0,59,6,1,male,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
59,5,"(13, 42)",195.0,59,6,1,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
59,7,"(13, 34)",123.0,59,1,1,male,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
59,8,"(36, 11)",70.0,59,4,3,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
59,11,"(30, 6)",67.0,59,2,2,male,"Bool[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
59,12,"(34, 11)",118.0,59,6,2,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
59,13,"(13, 39)",9.0,59,6,4,male,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
59,14,"(12, 34)",78.0,59,2,2,male,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
59,15,"(37, 9)",112.0,59,4,2,female,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
59,17,"(11, 30)",39.0,59,1,2,male,"Bool[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
59,18,"(34, 8)",1.0,59,5,4,female,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
59,23,"(33, 3)",140.0,59,2,1,male,"Bool[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
59,24,"(15, 40)",130.0,59,6,2,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
59,26,"(34, 3)",13.0,59,2,3,female,"Bool[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
59,29,"(32, 10)",12.0,59,5,4,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
59,30,"(16, 34)",32.0,59,2,3,female,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
59,31,"(15, 39)",135.0,59,5,2,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
59,37,"(34, 7)",62.0,59,6,3,female,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
59,38,"(32, 5)",171.0,59,2,1,female,"Bool[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
59,40,"(12, 39)",21.0,59,5,4,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
59,42,"(28, 1)",75.0,59,2,1,male,"Bool[1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
59,46,"(17, 41)",130.0,59,6,2,male,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
59,50,"(16, 39)",127.0,59,5,2,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
60,2,"(14, 37)",176.0,60,6,1,male,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
60,5,"(13, 41)",198.0,60,6,1,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
60,7,"(13, 33)",125.0,60,1,1,male,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
60,8,"(35, 11)",71.0,60,4,3,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
60,11,"(30, 5)",68.0,60,2,2,male,"Bool[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
60,12,"(34, 12)",120.0,60,6,2,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
60,13,"(14, 41)",9.0,60,6,4,male,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
60,14,"(12, 35)",79.0,60,2,2,male,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
60,17,"(10, 30)",39.0,60,1,2,male,"Bool[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
60,18,"(34, 9)",1.0,60,5,4,female,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
60,24,"(15, 41)",132.0,60,6,2,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
60,26,"(34, 4)",13.0,60,2,3,female,"Bool[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
60,29,"(32, 9)",12.0,60,5,4,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
60,30,"(16, 33)",32.0,60,2,3,female,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
60,37,"(35, 7)",63.0,60,6,3,female,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
60,40,"(13, 38)",21.0,60,5,4,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
60,42,"(29, 1)",76.0,60,2,1,male,"Bool[1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
60,46,"(17, 42)",132.0,60,6,2,male,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
60,50,"(17, 40)",129.0,60,5,2,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
61,2,"(16, 37)",179.0,61,6,1,male,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
61,5,"(12, 41)",201.0,61,6,1,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
61,7,"(14, 33)",127.0,61,1,1,male,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
61,8,"(35, 10)",72.0,61,4,3,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
61,11,"(31, 4)",69.0,61,2,2,male,"Bool[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
61,12,"(33, 12)",122.0,61,6,2,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
61,13,"(14, 40)",9.0,61,6,4,male,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
61,14,"(11, 35)",80.0,61,2,2,male,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
61,17,"(11, 30)",39.0,61,1,2,male,"Bool[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
61,24,"(16, 41)",134.0,61,6,2,female,"Bool[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
61,29,"(32, 11)",12.0,61,5,4,male,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
