time,#101,#102,#103,#104,#105,#106,#107,#108,#109,#110,#111,nagents
30,3.66928598189838,"Dict{String, Real}(""unique_cultures"" => 42, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0205078125)",0.0,0.0,27,23,"Dict(""blue_proportion"" => 0.46, ""red_proportion"" => 0.54)","Dict(:p25 => 14.25, :p75 => 55.0, :p50 => 36.0, :p90 => 78.30000000000001, :p99 => 96.13999999999997, :p95 => 81.55)",5.404587521517266,0,45,50
31,3.596573283106478,"Dict{String, Real}(""unique_cultures"" => 40, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01953125)",0.0,0.0,28,22,"Dict(""blue_proportion"" => 0.44, ""red_proportion"" => 0.56)","Dict(:p25 => 14.25, :p75 => 56.75, :p50 => 37.5, :p90 => 79.4, :p99 => 99.13999999999997, :p95 => 84.0)",5.530495140314465,0,46,50
32,3.5083421906549708,"Dict{String, Real}(""unique_cultures"" => 38, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0185546875)",0.0,0.0,27,23,"Dict(""blue_proportion"" => 0.46, ""red_proportion"" => 0.54)","Dict(:p25 => 14.25, :p75 => 59.25, :p50 => 38.5, :p90 => 80.4, :p99 => 101.64999999999998, :p95 => 85.55)",5.395113925577477,0,46,50
33,3.624299170328876,"Dict{String, Real}(""unique_cultures"" => 41, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02001953125)",0.0,0.0,26,24,"Dict(""blue_proportion"" => 0.48, ""red_proportion"" => 0.52)","Dict(:p25 => 16.25, :p75 => 62.0, :p50 => 39.0, :p90 => 81.60000000000002, :p99 => 104.64999999999998, :p95 => 87.55)",5.148959231172383,0,48,50
34,3.513395621439284,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,25,25,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)","Dict(:p25 => 15.0, :p75 => 64.0, :p50 => 39.5, :p90 => 83.6, :p99 => 107.64999999999998, :p95 => 90.0)",4.904158909856559,0,48,50
35,3.4647398084663052,"Dict{String, Real}(""unique_cultures"" => 36, ""max_possible"" => 2048, ""diversity_ratio"" => 0.017578125)",0.0,0.0,22,28,"Dict(""blue_proportion"" => 0.56, ""red_proportion"" => 0.44)","Dict(:p25 => 15.0, :p75 => 66.0, :p50 => 40.5, :p90 => 82.9, :p99 => 110.64999999999998, :p95 => 92.55)",5.075495788510297,0,48,50
36,3.4370139212439073,"Dict{String, Real}(""unique_cultures"" => 35, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01708984375)",0.0,0.0,22,28,"Dict(""blue_proportion"" => 0.56, ""red_proportion"" => 0.44)","Dict(:p25 => 14.0, :p75 => 67.75, :p50 => 41.5, :p90 => 84.9, :p99 => 112.17999999999996, :p95 => 94.55)",4.9434074484454245,0,48,50
37,3.6070382459817694,"Dict{String, Real}(""unique_cultures"" => 40, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01953125)",0.0,0.0,23,27,"Dict(""blue_proportion"" => 0.54, ""red_proportion"" => 0.46)","Dict(:p25 => 13.5, :p75 => 69.5, :p50 => 42.5, :p90 => 86.9, :p99 => 115.17999999999996, :p95 => 97.1)",5.021456720678009,0,48,50
38,3.596573283106478,"Dict{String, Real}(""unique_cultures"" => 39, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01904296875)",0.0,0.0,24,26,"Dict(""blue_proportion"" => 0.52, ""red_proportion"" => 0.48)","Dict(:p25 => 12.75, :p75 => 71.5, :p50 => 43.5, :p90 => 88.9, :p99 => 118.17999999999998, :p95 => 99.64999999999999)",5.068333270466792,0,48,50
39,3.5306565457863917,"Dict{String, Real}(""unique_cultures"" => 39, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01904296875)",0.0,0.0,25,25,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)","Dict(:p25 => 15.5, :p75 => 73.25, :p50 => 44.5, :p90 => 90.00000000000003, :p99 => 121.17999999999996, :p95 => 101.64999999999999)",5.169665963543762,0,49,50
40,3.369712754542982,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,24,26,"Dict(""blue_proportion"" => 0.52, ""red_proportion"" => 0.48)","Dict(:p25 => 14.25, :p75 => 74.25, :p50 => 45.5, :p90 => 92.0, :p99 => 124.17999999999995, :p95 => 103.64999999999999)",5.270956190849879,0,49,50
41,3.380177717418273,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,21,29,"Dict(""blue_proportion"" => 0.58, ""red_proportion"" => 0.42)","Dict(:p25 => 15.25, :p75 => 75.25, :p50 => 46.5, :p90 => 94.00000000000003, :p99 => 127.17999999999996, :p95 => 106.19999999999999)",5.671940978116444,0,50,50
42,3.437013921243908,"Dict{String, Real}(""unique_cultures"" => 36, ""max_possible"" => 2048, ""diversity_ratio"" => 0.017578125)",0.0,0.0,22,28,"Dict(""blue_proportion"" => 0.56, ""red_proportion"" => 0.44)","Dict(:p25 => 15.5, :p75 => 76.5, :p50 => 47.5, :p90 => 96.0, :p99 => 128.64999999999998, :p95 => 108.19999999999999)",5.4753909963385805,0,51,50
43,3.5479174701334983,"Dict{String, Real}(""unique_cultures"" => 38, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0185546875)",0.0,0.0,23,27,"Dict(""blue_proportion"" => 0.54, ""red_proportion"" => 0.46)","Dict(:p25 => 15.25, :p75 => 76.25, :p50 => 48.0, :p90 => 98.00000000000003, :p99 => 131.64999999999998, :p95 => 110.74999999999999)",5.212037320196648,0,52,50
44,3.6310951318006923,"Dict{String, Real}(""unique_cultures"" => 41, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02001953125)",0.0,0.0,26,24,"Dict(""blue_proportion"" => 0.48, ""red_proportion"" => 0.52)","Dict(:p25 => 14.25, :p75 => 77.5, :p50 => 48.5, :p90 => 100.0, :p99 => 134.64999999999998, :p95 => 113.29999999999998)",5.0350531091072135,0,53,50
45,3.5793123587593714,"Dict{String, Real}(""unique_cultures"" => 40, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01953125)",0.0,0.0,25,25,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)","Dict(:p25 => 15.0, :p75 => 78.5, :p50 => 49.0, :p90 => 102.00000000000003, :p99 => 137.64999999999998, :p95 => 115.29999999999998)",5.181659482852732,0,53,50
