time,id,pos,sugar,age,vision,metabolism,sex,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,last_combat_partner,chose_not_to_attack,schwartz_values
1,15,"(28, 19)",5.0,1,4,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,"(self_direction = 0.62f0, stimulation = -0.77f0, hedonism = 0.2f0, achievement = -0.74f0, power = 0.61f0, security = 0.76f0, conformity = 0.02f0, tradition = -0.52f0, benevolence = -0.02f0, universalism = -0.15f0)"
1,16,"(38, 38)",8.0,1,6,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,"(self_direction = -1.01f0, stimulation = -0.6f0, hedonism = -1.26f0, achievement = 1.88f0, power = -0.09f0, security = 1.21f0, conformity = 0.1f0, tradition = 0.64f0, benevolence = -0.24f0, universalism = -0.63f0)"
1,17,"(13, 44)",23.0,1,1,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,"(self_direction = 0.25f0, stimulation = -0.21f0, hedonism = -0.5f0, achievement = -0.8f0, power = -1.84f0, security = 1.81f0, conformity = -0.66f0, tradition = 0.99f0, benevolence = -0.12f0, universalism = 1.08f0)"
1,18,"(50, 21)",7.0,1,5,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,"(self_direction = 0.96f0, stimulation = -3.33f0, hedonism = -1.97f0, achievement = -0.84f0, power = -1.58f0, security = 2.98f0, conformity = 0.12f0, tradition = 0.97f0, benevolence = 0.8f0, universalism = 1.89f0)"
1,19,"(48, 27)",20.0,1,4,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,"(self_direction = 0.66f0, stimulation = -1.8f0, hedonism = 1.01f0, achievement = -0.85f0, power = -1.27f0, security = 2.0f0, conformity = -1.44f0, tradition = -0.54f0, benevolence = 1.52f0, universalism = 0.71f0)"
1,20,"(13, 9)",13.0,1,4,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,"(self_direction = 2.07f0, stimulation = -1.35f0, hedonism = -1.05f0, achievement = 0.33f0, power = -1.22f0, security = 0.5f0, conformity = -0.34f0, tradition = -1.64f0, benevolence = 1.52f0, universalism = 1.18f0)"
1,21,"(6, 20)",23.0,1,4,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,"(self_direction = 0.81f0, stimulation = 0.06f0, hedonism = -1.33f0, achievement = -0.05f0, power = -0.61f0, security = 0.48f0, conformity = -1.28f0, tradition = 0.19f0, benevolence = 1.48f0, universalism = 0.24f0)"
1,22,"(20, 18)",22.0,1,1,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,"(self_direction = 0.6f0, stimulation = 0.66f0, hedonism = 0.44f0, achievement = -1.18f0, power = -0.84f0, security = -0.31f0, conformity = 0.31f0, tradition = -1.06f0, benevolence = 0.36f0, universalism = 1.03f0)"
1,23,"(31, 4)",25.0,1,2,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,"(self_direction = -0.41f0, stimulation = -0.28f0, hedonism = -0.43f0, achievement = -0.62f0, power = -2.32f0, security = 0.49f0, conformity = 0.86f0, tradition = 0.94f0, benevolence = 1.39f0, universalism = 0.39f0)"
1,24,"(13, 47)",15.0,1,6,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,"(self_direction = -0.81f0, stimulation = -2.39f0, hedonism = -2.43f0, achievement = 0.78f0, power = -1.72f0, security = 2.31f0, conformity = 1.01f0, tradition = 0.96f0, benevolence = 1.12f0, universalism = 1.17f0)"
