time,total_credit_outstanding,credit_default_rate,credit_network_metrics,gini_coefficient,nagents
105,5.2,0.0,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.18, ""n_nodes"" => 50, ""max_degree"" => 2)",0.504587502343365,50
106,5.2,0.0,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.18, ""n_nodes"" => 50, ""max_degree"" => 2)",0.5064033634312479,50
107,23.200000000000003,0.14285714285714285,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.26, ""n_nodes"" => 50, ""max_degree"" => 2)",0.49441838684455863,50
108,36.0,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4800811460501715,50
109,36.0,0.5,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4675707104248126,50
110,35.0,0.6,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.18, ""n_nodes"" => 50, ""max_degree"" => 2)",0.4861478724835224,50
111,36.0,0.4,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 2)",0.48782882126926586,50
112,36.0,0.4,"Dict{String, Real}(""n_edges"" => 4, ""density"" => 0.0032653061224489797, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 2)",0.486375814215648,50
113,35.0,0.5,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 2)",0.49829966185945773,50
114,35.0,0.5,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 2)",0.5024261424441712,50
115,35.0,0.5,"Dict{String, Real}(""n_edges"" => 3, ""density"" => 0.0024489795918367346, ""avg_degree"" => 0.12, ""n_nodes"" => 50, ""max_degree"" => 2)",0.5099600785254086,50
